epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,1.06699,0.94746,0.11953,63343,53911,9408
1,1,1.08091,0.95327,0.12764,1494,1470,0
1,2,1.08531,0.95908,0.12623,1462,1435,0
1,3,1.07752,0.95395,0.12357,1477,1441,0
1,4,1.07603,0.95632,0.11972,1821,1794,0
1,5,1.08256,0.95315,0.12941,1920,1892,0
1,6,1.08110,0.96214,0.11897,1501,1475,0
1,7,1.08616,0.96425,0.12191,1461,1432,0
1,8,1.08292,0.96306,0.11986,1524,1502,0
1,9,1.08553,0.96121,0.12432,1503,1475,0
1,10,1.08574,0.96109,0.12465,1570,1531,0
1,11,1.09289,0.96620,0.12669,1606,1577,0
1,12,1.08237,0.96281,0.11956,1503,1477,0
1,13,1.08607,0.96107,0.12501,1505,1478,0
1,14,1.08505,0.96358,0.12147,12075,12047,0
1,15,1.08727,0.96555,0.12172,1531,1508,0
1,16,1.08367,0.96091,0.12276,1584,1556,0
1,17,1.08732,0.96250,0.12482,1509,1474,0
1,18,1.09250,0.96388,0.12863,1529,1501,0
1,19,1.08990,0.96775,0.12215,1627,1602,0
1,20,1.09416,0.97018,0.12398,1559,1533,0
1,21,1.11429,0.98193,0.13236,1472,1448,0
2,0,1.10491,0.98193,0.12299,14196,3040,11132
2,1,1.10029,0.97785,0.12244,1603,1578,0
2,2,1.09396,0.97098,0.12299,1524,1501,0
2,3,1.09903,0.97932,0.11971,1557,1527,0
2,4,1.10662,0.98008,0.12654,1593,1570,0
2,5,1.10577,0.97884,0.12693,1593,1564,0
2,6,1.09982,0.97596,0.12385,1579,1553,0
2,7,1.10922,0.98417,0.12505,1500,1475,0
2,8,1.09640,0.97217,0.12423,1612,1581,0
2,9,1.10387,0.97476,0.12911,1595,1570,0
2,10,1.09142,0.97025,0.12118,1542,1514,0
2,11,1.09713,0.97263,0.12449,1586,1561,0
2,12,1.10358,0.97773,0.12585,1608,1577,0
2,13,1.08732,0.96799,0.11933,1570,1543,1
2,14,1.10170,0.98064,0.12106,1600,1576,0
2,15,1.08215,0.96719,0.11496,6733,6704,0
2,16,1.10597,0.97728,0.12868,1459,1434,0
2,17,1.09711,0.97013,0.12699,1458,1428,0
2,18,1.09447,0.96803,0.12644,1668,1644,0
2,19,1.09201,0.96928,0.12273,1582,1554,0
2,20,1.09580,0.96926,0.12655,1624,1597,0
2,21,1.08687,0.96843,0.11845,1533,1508,0
3,0,1.09840,0.97488,0.12352,19614,9257,10334
3,1,1.09169,0.96800,0.12369,1598,1566,0
3,2,1.09153,0.96717,0.12436,1497,1472,0
3,3,1.09640,0.96643,0.12997,1543,1519,0
3,4,1.08932,0.96360,0.12572,1567,1545,0
3,5,1.09249,0.96735,0.12514,1578,1548,0
3,6,1.09451,0.96721,0.12730,1550,1519,0
3,7,1.08731,0.96894,0.11838,1602,1575,0
3,8,1.10209,0.97358,0.12851,1639,1611,0
3,9,1.09073,0.97468,0.11604,1553,1528,0
3,10,1.08750,0.96573,0.12176,1544,1522,0
3,11,1.10205,0.97725,0.12481,1511,1488,0
3,12,1.09452,0.97653,0.11800,1647,1620,0
3,13,1.08885,0.96963,0.11922,1607,1577,0
3,14,1.09780,0.97318,0.12462,1513,1485,0
3,15,1.09214,0.97215,0.11999,1515,1485,0
3,16,1.09443,0.96893,0.12550,1546,1521,0
3,17,1.09420,0.97482,0.11938,1534,1512,0
3,18,1.10825,0.98179,0.12646,1448,1425,0
3,19,1.09879,0.97557,0.12322,1443,1416,0
3,20,1.10797,0.97962,0.12835,1737,1708,0
3,21,1.11426,0.98371,0.13056,5192,5165,0
4,0,1.09623,0.97620,0.12003,13517,3527,9967
4,1,1.10557,0.98288,0.12269,1486,1461,0
4,2,1.09905,0.97683,0.12222,1604,1575,0
4,3,1.09669,0.98109,0.11560,1498,1475,0
4,4,1.10406,0.98219,0.12186,1533,1505,0
4,5,1.10220,0.98086,0.12135,1561,1534,0
4,6,1.11002,0.98291,0.12710,1573,1546,0
4,7,1.09843,0.98047,0.11795,1501,1472,0
4,8,1.10727,0.97774,0.12953,1481,1456,0
4,9,1.10102,0.97611,0.12491,1475,1446,0
4,10,1.10076,0.97845,0.12231,1531,1502,0
4,11,1.09836,0.97508,0.12328,1536,1512,0
4,12,1.09652,0.97524,0.12128,1636,1604,0
4,13,1.09466,0.97318,0.12148,1554,1530,0
4,14,1.10525,0.97890,0.12636,1554,1528,0
4,15,1.09470,0.97674,0.11795,1677,1652,0
4,16,1.09437,0.97168,0.12269,1711,1681,0
4,17,1.10599,0.97815,0.12784,1438,1416,0
4,18,1.08947,0.96872,0.12075,1504,1475,0
4,19,1.09718,0.97221,0.12496,1599,1575,0
4,20,1.09380,0.97140,0.12240,1683,1656,0
4,21,1.08961,0.96788,0.12173,1496,1471,0
5,0,1.09504,0.97050,0.12454,16417,5351,11044
5,1,1.08447,0.96427,0.12020,1582,1554,0
5,2,1.09335,0.96359,0.12976,1621,1589,0
5,3,1.09937,0.97176,0.12761,1538,1515,0
5,4,1.08895,0.96716,0.12179,1619,1588,0
5,5,1.09325,0.96522,0.12803,1576,1549,0
5,6,1.09299,0.96568,0.12731,1614,1586,0
5,7,1.09026,0.96598,0.12428,1663,1636,0
5,8,1.08948,0.96420,0.12527,2319,2292,0
5,9,1.09479,0.96877,0.12603,1555,1522,0
5,10,1.09472,0.96983,0.12489,1558,1535,0
5,11,1.09286,0.96715,0.12572,1573,1544,0
5,12,1.09463,0.97144,0.12319,1517,1491,0
5,13,1.09012,0.96886,0.12126,1506,1480,0
5,14,1.09545,0.97005,0.12540,1441,1415,0
5,15,1.09070,0.96944,0.12125,1574,1549,0
5,16,1.09336,0.96874,0.12462,1645,1619,0
5,17,1.09552,0.96880,0.12671,1567,1544,0
5,18,1.08665,0.96873,0.11791,1813,1784,0
5,19,1.09315,0.97003,0.12313,1436,1409,0
5,20,1.09191,0.96863,0.12328,2498,2472,0
5,21,1.08938,0.96688,0.12250,1529,1503,0
6,0,1.08645,0.96716,0.11929,15912,5096,10791
6,1,1.08995,0.96994,0.12001,1525,1498,0
6,2,1.08921,0.96552,0.12369,1532,1508,0
6,3,1.08923,0.96304,0.12619,1575,1547,0
6,4,1.08968,0.96745,0.12223,1489,1466,0
6,5,1.08138,0.96562,0.11576,1555,1524,0
6,6,1.08992,0.96717,0.12275,1551,1524,0
6,7,1.08757,0.96556,0.12200,1531,1502,0
6,8,1.08431,0.96365,0.12065,1550,1527,0
6,9,1.09085,0.96534,0.12552,1494,1469,0
6,10,1.08613,0.96381,0.12232,1572,1548,1
6,11,1.09313,0.96684,0.12629,1545,1518,0
6,12,1.09324,0.97089,0.12235,1979,1947,0
6,13,1.09752,0.97184,0.12567,1513,1487,0
6,14,1.08402,0.96364,0.12038,1611,1584,0
6,15,1.09014,0.96957,0.12057,1481,1456,0
6,16,1.08735,0.96750,0.11985,1461,1437,0
6,17,1.08685,0.96539,0.12146,1465,1442,0
6,18,1.08912,0.96735,0.12177,1470,1443,0
6,19,1.08710,0.96890,0.11820,1446,1417,0
6,20,1.09050,0.96927,0.12123,1418,1392,0
