epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.71389,0.94651,0.03446,26494,20068,6403
1,1,0.73145,0.95616,0.04028,1515,1490,1
1,2,0.76385,0.95753,0.04657,1577,1549,0
1,3,0.73229,0.95714,0.04984,1548,1520,0
1,4,0.70682,0.95835,0.03586,1927,1899,0
1,5,0.71687,0.95532,0.04556,1908,1879,0
1,6,0.77646,0.96413,0.03396,1464,1435,0
1,7,0.77119,0.96549,0.04907,2172,2150,0
1,8,0.76130,0.96448,0.04692,1503,1475,0
1,9,0.75625,0.96525,0.04141,2225,2196,0
1,10,0.76497,0.96606,0.03826,1925,1897,0
1,11,0.72019,0.96696,0.03847,1676,1648,0
1,12,0.73447,0.97099,0.03828,1836,1807,0
1,13,0.73903,0.97152,0.03634,1892,1863,0
1,14,0.75440,0.97143,0.03896,1973,1947,0
1,15,0.77534,0.97488,0.04361,1803,1775,0
1,16,0.77774,0.97492,0.03545,1614,1589,0
1,17,0.77344,0.98093,0.03793,1793,1765,0
1,18,0.76777,0.98475,0.04396,1456,1434,0
1,19,0.73747,0.98569,0.03471,1521,1493,0
1,20,0.79518,0.98832,0.03895,1522,1493,0
1,21,0.74969,0.99357,0.04092,1509,1480,0
2,0,0.75025,0.99419,0.03448,9630,2380,7226
2,1,0.76339,0.99275,0.03993,1875,1846,0
2,2,0.81154,0.99330,0.03384,1702,1676,0
2,3,0.79614,0.99664,0.03571,1582,1554,0
2,4,0.78608,0.99924,0.03905,2146,2118,0
2,5,0.76499,1.00039,0.04485,2212,2182,0
2,6,0.79578,0.99790,0.04646,2136,2106,0
2,7,0.78884,0.99762,0.04308,1904,1878,0
2,8,0.78523,0.99876,0.03767,2004,1975,0
2,9,0.75744,0.99531,0.05226,1573,1544,0
2,10,0.78742,0.99540,0.03640,1894,1866,0
2,11,0.76669,0.99496,0.03333,1735,1710,0
2,12,0.77986,0.98924,0.03844,1577,1549,0
2,13,0.74960,0.98905,0.03604,2006,1976,0
2,14,0.77235,0.98884,0.04647,2133,2104,0
2,15,0.75381,0.98839,0.03826,1879,1853,0
2,16,0.76471,0.98482,0.03836,2051,2023,0
2,17,0.79133,0.98270,0.03576,1542,1515,0
2,18,0.78970,0.98098,0.03536,1859,1831,0
2,19,0.77894,0.97950,0.04180,1800,1775,0
2,20,0.74635,0.97687,0.04945,1627,1600,0
2,21,0.79017,0.97620,0.03454,1639,1610,0
3,0,0.74153,0.97806,0.03875,9965,2574,7368
3,1,0.75258,0.97441,0.04482,2410,2383,0
3,2,0.78802,0.97582,0.03623,1884,1855,0
3,3,0.74109,0.97281,0.03817,1506,1478,0
3,4,0.70846,0.97449,0.04238,1560,1531,0
3,5,0.75806,0.97482,0.04574,1586,1560,0
3,6,0.75404,0.97251,0.03785,1971,1941,0
3,7,0.78983,0.97203,0.03582,1524,1496,0
3,8,0.71580,0.97165,0.03811,1504,1477,0
3,9,0.77144,0.97349,0.03549,1984,1956,0
3,10,0.80312,0.97037,0.04276,1577,1547,0
3,11,0.79134,0.97154,0.03991,1489,1461,0
3,12,0.77950,0.97338,0.04078,1564,1538,0
3,13,0.72812,0.97630,0.03243,1934,1904,0
3,14,0.74301,0.97469,0.04341,1619,1592,0
3,15,0.78066,0.97104,0.03432,1478,1451,0
3,16,0.78935,0.97485,0.03817,1532,1505,0
3,17,0.75884,0.97383,0.04230,1507,1478,0
3,18,0.74657,0.97536,0.03721,1468,1440,0
3,19,0.74731,0.97058,0.03917,1462,1437,0
3,20,0.77514,0.97070,0.03448,1491,1464,0
3,21,0.76492,0.97103,0.04132,1522,1493,0
4,0,0.73161,0.97199,0.04016,9352,1533,7796
4,1,0.75922,0.97349,0.03484,1600,1571,0
4,2,0.71468,0.97141,0.03836,1554,1525,0
4,3,0.73340,0.96782,0.04157,1575,1548,0
4,4,0.75068,0.97137,0.03707,1576,1547,0
4,5,0.76356,0.97102,0.03735,1491,1466,0
4,6,0.72826,0.97139,0.04104,1571,1544,0
4,7,0.71586,0.97301,0.03983,1828,1801,0
4,8,0.70191,0.97115,0.04414,1511,1481,0
4,9,0.74548,0.97390,0.04197,1508,1479,0
4,10,0.71896,0.97311,0.03462,1593,1566,0
4,11,0.69623,0.97255,0.04044,1820,1792,0
4,12,0.76356,0.97324,0.04199,1563,1537,0
4,13,0.72647,0.97160,0.04243,1511,1484,0
4,14,0.75902,0.97434,0.03634,1558,1532,0
4,15,0.75727,0.97378,0.04009,1499,1471,0
