epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.87300,0.86322,0.09780,34897,19778,15096
1,1,0.87421,0.86423,0.09981,3105,3082,0
1,2,0.80248,0.79377,0.08709,3338,3316,0
1,3,0.73651,0.72849,0.08024,3210,3187,0
1,4,0.69773,0.69064,0.07089,3090,3067,1
1,5,0.68012,0.67322,0.06907,4292,4270,0
1,6,0.66139,0.65481,0.06582,2838,2815,0
1,7,0.64144,0.63495,0.06488,2304,2282,0
1,8,0.63149,0.62515,0.06334,2189,2167,1
1,9,0.61308,0.60685,0.06232,1738,1715,0
1,10,0.60035,0.59439,0.05958,1855,1832,0
1,11,0.59267,0.58659,0.06080,18541,18518,0
1,12,0.57244,0.56665,0.05788,1745,1723,0
1,13,0.55582,0.55016,0.05661,2822,2800,0
1,14,0.54391,0.53835,0.05559,3143,3120,0
1,15,0.53400,0.52855,0.05446,3047,3024,0
1,16,0.51816,0.51302,0.05135,3253,3230,1
1,17,0.51326,0.50836,0.04903,3110,3087,1
1,18,0.49881,0.49409,0.04721,3145,3122,0
1,19,0.48742,0.48304,0.04373,5941,5919,0
1,20,0.49100,0.48681,0.04189,3107,3085,0
1,21,0.46218,0.45820,0.03981,2912,2890,0
1,22,0.46474,0.46070,0.04038,3178,1731,0
1,23,0.45477,0.45097,0.03797,1989,1967,0
1,24,0.44956,0.44589,0.03665,3107,3085,0
1,25,0.44047,0.43667,0.03795,3063,3041,0
1,26,0.43475,0.43118,0.03569,3222,3200,0
1,27,0.42466,0.42124,0.03417,3090,3068,0
1,28,0.41496,0.41146,0.03504,3167,3144,0
1,29,0.41296,0.40951,0.03452,4081,4057,0
1,30,0.39920,0.39593,0.03273,7499,7456,0
1,31,0.40053,0.39734,0.03188,2380,2356,0
1,32,0.39203,0.38888,0.03153,2806,2782,0
1,33,0.39756,0.39439,0.03177,3037,3015,0
