epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.95995,0.94756,0.12388,38499,29103,9374
1,1,0.96714,0.95415,0.12999,3022,2995,1
1,2,0.96041,0.94841,0.12002,3042,3013,0
1,3,0.95844,0.94604,0.12403,3035,3007,0
1,4,0.96091,0.94925,0.11661,2903,2876,1
1,5,0.95427,0.94237,0.11899,3088,3062,1
1,6,0.95828,0.94649,0.11793,2887,2863,0
1,7,0.96106,0.94864,0.12420,3041,3016,0
1,8,0.96094,0.94869,0.12249,2966,2937,0
1,9,0.95426,0.94182,0.12444,2973,2944,0
1,10,0.95213,0.94022,0.11908,3083,3054,1
1,11,0.95785,0.94535,0.12508,3095,3069,0
1,12,0.95257,0.94104,0.11526,2842,2815,0
1,13,0.95686,0.94606,0.10798,2857,2830,0
1,14,0.95523,0.94393,0.11305,3651,3623,0
1,15,0.95734,0.94565,0.11695,13675,13650,0
1,16,0.95255,0.94111,0.11447,3393,3365,0
1,17,0.95287,0.94153,0.11336,2834,2810,0
1,18,0.94887,0.93788,0.10990,3835,3806,0
1,19,0.95359,0.94225,0.11341,3121,3096,0
1,20,0.95482,0.94340,0.11413,3352,3323,0
1,21,0.95062,0.93973,0.10891,2818,2794,0
2,0,0.94448,0.93403,0.10447,58982,13836,11501
2,1,0.94306,0.93321,0.09850,2806,2777,0
2,2,0.94164,0.93083,0.10810,2948,2919,0
2,3,0.94191,0.93098,0.10925,2931,2902,0
2,4,0.94232,0.93163,0.10694,2953,2925,0
2,5,0.93768,0.92667,0.11011,3207,3184,1
2,6,0.93490,0.92390,0.11003,4545,4520,0
2,7,0.93335,0.92342,0.09930,2856,2831,0
2,8,0.93209,0.92200,0.10095,2974,2949,0
2,9,0.92337,0.91292,0.10456,3621,3591,0
2,10,0.92291,0.91282,0.10084,2998,2973,0
2,11,0.92618,0.91604,0.10140,2951,2921,0
2,12,0.92309,0.91357,0.09520,2888,2860,0
2,13,0.92141,0.91101,0.10398,3010,2981,0
2,14,0.91951,0.90992,0.09591,2883,2854,0
2,15,0.91535,0.90599,0.09362,2918,2890,0
2,16,0.91466,0.90497,0.09685,2946,2917,0
2,17,0.91210,0.90243,0.09667,4118,4093,0
2,18,0.91011,0.90058,0.09531,3078,3054,0
2,19,0.91297,0.90297,0.10003,3167,3138,0
2,20,0.90944,0.89897,0.10467,2885,2861,0
2,21,0.90951,0.90069,0.08818,3256,3228,0
3,0,0.91107,0.90158,0.09493,11401,4158,7221
3,1,0.90583,0.89547,0.10360,2860,2832,0
3,2,0.90570,0.89627,0.09427,3194,3168,0
3,3,0.90688,0.89713,0.09753,2930,2904,0
3,4,0.90819,0.89915,0.09039,2947,2917,0
3,5,0.90507,0.89615,0.08922,2930,2905,0
3,6,0.91461,0.90566,0.08947,2926,2793,0
3,7,0.90211,0.89334,0.08769,2872,2845,0
3,8,0.91098,0.90186,0.09117,2809,2780,0
3,9,0.91291,0.90397,0.08936,4662,4632,0
3,10,0.90483,0.89585,0.08978,3872,3843,0
3,11,0.91129,0.90260,0.08685,2753,2724,0
3,12,0.90952,0.90069,0.08826,3001,2976,0
3,13,0.89808,0.88896,0.09119,2803,2775,0
3,14,0.90608,0.89757,0.08505,2843,2818,0
3,15,0.89129,0.88254,0.08745,2919,2891,0
3,16,0.90277,0.89412,0.08646,2861,2832,0
3,17,0.89204,0.88403,0.08017,2869,2840,0
3,18,0.89004,0.88189,0.08151,2698,2673,0
3,19,0.89009,0.88230,0.07785,2829,2802,0
3,20,0.88471,0.87639,0.08313,5654,5625,0
3,21,0.89507,0.88682,0.08248,2938,2909,0
4,0,0.88963,0.88181,0.07815,10348,4050,6276
4,1,0.88844,0.87989,0.08545,2933,2904,0
4,2,0.88862,0.88068,0.07933,2803,2773,0
4,3,0.88410,0.87597,0.08130,2853,2825,0
4,4,0.88353,0.87541,0.08111,2863,2833,0
4,5,0.88210,0.87368,0.08421,2876,2850,0
