epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
1,0,0.95362,0.95362,0.12584,280335,175863,104448
1,1,0.94641,0.94641,0.13210,12400,12371,1
1,2,0.94678,0.94678,0.12718,7273,7247,1
1,3,0.95296,0.95296,0.12615,6913,6885,0
1,4,0.94889,0.94889,0.12401,6939,6911,0
1,5,0.94856,0.94856,0.12058,5968,5943,0
1,6,0.94937,0.94937,0.12597,12512,12482,0
1,7,0.95005,0.95005,0.12318,8732,8705,1
1,8,0.94765,0.94765,0.12467,8311,8280,1
1,9,0.95037,0.95037,0.12658,7647,7621,0
1,10,0.95009,0.95009,0.13284,6922,6895,0
1,11,0.95225,0.95225,0.12798,6093,6068,0
1,12,0.94984,0.94984,0.13023,6003,5974,0
1,13,0.95124,0.95124,0.12690,5818,5793,0
1,14,0.95036,0.95036,0.12734,7287,7262,0
1,15,0.95175,0.95175,0.12772,6972,6940,0
1,16,0.95394,0.95394,0.12454,7789,7759,0
1,17,0.95586,0.95586,0.13571,17838,17809,0
1,18,0.94598,0.94598,0.12326,5849,5821,0
1,19,0.95361,0.95361,0.12550,6938,6910,0
1,20,0.95131,0.95131,0.12793,7245,7219,0
1,21,0.94776,0.94776,0.12305,6777,6748,0
2,0,0.94916,0.94916,0.12489,50982,29655,21304
2,1,0.95034,0.95034,0.12370,6451,6423,0
2,2,0.94827,0.94827,0.12958,6018,5993,0
2,3,0.95102,0.95102,0.12120,5887,5860,0
2,4,0.94908,0.94908,0.11911,5994,5966,0
2,5,0.94711,0.94711,0.12903,5919,5886,0
2,6,0.94881,0.94881,0.13073,6817,6792,0
2,7,0.95143,0.95143,0.12107,6983,6954,2
2,8,0.95015,0.95015,0.12781,7334,7307,2
2,9,0.94980,0.94980,0.12968,6942,6910,0
2,10,0.95143,0.95143,0.12460,5471,5443,1
2,11,0.95201,0.95201,0.12211,6302,6274,0
2,12,0.94547,0.94547,0.12257,6169,6141,0
2,13,0.95332,0.95332,0.12859,7159,7130,0
2,14,0.95200,0.95200,0.12902,6721,6688,0
2,15,0.94878,0.94878,0.12130,6640,6614,0
2,16,0.95078,0.95078,0.11863,8458,8433,0
2,17,0.95214,0.95214,0.12573,5296,5272,0
2,18,0.94519,0.94519,0.12923,7100,7072,0
