epoch,itr,loss,loss_jepa,loss_forecast,iter-time(ms),gpu-time(ms),dataload-time(ms)
2,0,0.26606,0.26396,0.02100,45247,27060,17041
2,1,0.26996,0.26764,0.02325,5092,5068,0
2,2,0.26865,0.26632,0.02331,2208,2185,0
2,3,0.27164,0.26920,0.02436,3654,3632,0
2,4,0.24840,0.24625,0.02146,8224,8200,0
2,5,0.27084,0.26843,0.02409,1890,1868,0
2,6,0.25540,0.25317,0.02229,2522,2496,0
2,7,0.25436,0.25220,0.02162,9788,9765,0
2,8,0.25348,0.25126,0.02226,2840,2817,1
2,9,0.25153,0.24928,0.02255,3429,3392,0
2,10,0.26286,0.26056,0.02309,6162,6139,0
2,11,0.26601,0.26378,0.02239,2678,2655,0
2,12,0.25313,0.25098,0.02152,2651,2629,0
2,13,0.25320,0.25101,0.02196,2272,2250,0
2,14,0.25944,0.25720,0.02247,2898,2864,0
2,15,0.25572,0.25352,0.02201,2699,2677,0
2,16,0.26064,0.25836,0.02277,8102,8078,0
2,17,0.26508,0.26287,0.02211,2081,2054,0
2,18,0.26958,0.26719,0.02388,2290,2268,0
2,19,0.25688,0.25468,0.02192,2987,2965,0
2,20,0.25064,0.24848,0.02160,2227,2205,0
2,21,0.25423,0.25206,0.02174,5447,5425,0
2,22,0.25846,0.25617,0.02289,50382,37267,13092
2,23,0.25237,0.25021,0.02166,2699,2677,0
2,24,0.25945,0.25729,0.02160,3566,3544,0
2,25,0.25591,0.25362,0.02284,2838,2815,0
2,26,0.24445,0.24213,0.02320,3008,2970,0
2,27,0.27239,0.26994,0.02449,3120,3098,0
2,28,0.25370,0.25150,0.02202,2633,2610,0
2,29,0.25021,0.24815,0.02062,2948,2915,0
2,30,0.24869,0.24648,0.02215,4081,4058,0
2,31,0.25037,0.24817,0.02202,1867,1845,0
2,32,0.26059,0.25851,0.02082,2720,2698,0
2,33,0.25636,0.25425,0.02112,6723,6700,0
2,34,0.24146,0.23942,0.02032,2232,2199,0
2,35,0.24728,0.24512,0.02156,2269,2247,0
2,36,0.24937,0.24712,0.02252,2120,2098,0
2,37,0.24913,0.24698,0.02147,1951,1918,0
2,38,0.25776,0.25554,0.02229,2356,2334,0
2,39,0.25476,0.25261,0.02154,2959,2937,0
2,40,0.26704,0.26474,0.02300,3114,3092,0
2,41,0.25961,0.25735,0.02263,2722,2699,0
2,42,0.24128,0.23907,0.02209,2859,2821,0
2,43,0.24663,0.24455,0.02086,3077,3054,0
2,44,0.25151,0.24927,0.02238,15945,6656,9230
2,45,0.25027,0.24812,0.02155,1796,1774,0
2,46,0.25658,0.25449,0.02096,2248,2225,0
2,47,0.24436,0.24236,0.02007,2350,2328,0
2,48,0.23740,0.23531,0.02090,1977,1955,0
2,49,0.26003,0.25797,0.02061,2158,2136,0
2,50,0.24863,0.24669,0.01940,2073,2050,0
2,51,0.24190,0.23997,0.01930,2230,2207,0
2,52,0.24923,0.24707,0.02159,1990,1965,1
2,53,0.23879,0.23675,0.02039,2301,2278,0
2,54,0.25249,0.25018,0.02311,2211,2187,0
2,55,0.25101,0.24885,0.02154,46875,46852,0
2,56,0.23630,0.23429,0.02007,2272,2249,0
2,57,0.24408,0.24198,0.02104,3786,3764,0
2,58,0.25146,0.24938,0.02079,4547,4523,0
2,59,0.23962,0.23761,0.02011,4301,4277,0
2,60,0.24906,0.24677,0.02296,2167,2145,0
2,61,0.24057,0.23857,0.01996,2835,2813,0
2,62,0.25244,0.25036,0.02078,2284,2260,0
2,63,0.24340,0.24140,0.01997,2864,2831,0
2,64,0.23121,0.22929,0.01917,3193,3171,0
2,65,0.24210,0.24004,0.02058,2636,2614,0
2,66,0.24325,0.24110,0.02151,17559,8270,9266
2,67,0.24173,0.23968,0.02051,2012,1984,0
2,68,0.23935,0.23734,0.02010,1922,1900,0
2,69,0.23798,0.23595,0.02022,2384,2360,0
2,70,0.22914,0.22715,0.01991,2445,2423,0
2,71,0.24961,0.24766,0.01951,2657,2627,0
2,72,0.23680,0.23478,0.02026,1973,1951,0
2,73,0.23149,0.22954,0.01955,2157,2135,0
2,74,0.23584,0.23377,0.02071,1968,1945,0
2,75,0.23152,0.22943,0.02098,5077,5049,0
2,76,0.24380,0.24154,0.02257,2041,2018,0
2,77,0.23254,0.23046,0.02083,2276,2253,0
2,78,0.22049,0.21853,0.01958,2815,2792,0
2,79,0.23344,0.23132,0.02118,6237,6206,0
2,80,0.24110,0.23905,0.02051,2215,2193,0
2,81,0.23119,0.22917,0.02024,1860,1837,0
2,82,0.24080,0.23867,0.02132,2173,2151,0
2,83,0.23187,0.22983,0.02039,2979,2957,0
2,84,0.24889,0.24672,0.02164,1871,1849,0
2,85,0.23575,0.23364,0.02109,1858,1835,0
2,86,0.22696,0.22494,0.02020,1861,1839,0
2,87,0.23623,0.23419,0.02040,1871,1843,0
2,88,0.23383,0.23170,0.02123,10459,1937,8499
2,89,0.23741,0.23534,0.02072,1710,1688,0
2,90,0.23791,0.23579,0.02114,7513,7490,0
2,91,0.23163,0.22953,0.02095,1789,1758,0
2,92,0.22623,0.22427,0.01962,1786,1750,0
2,93,0.24315,0.24103,0.02115,1736,1714,0
2,94,0.22658,0.22456,0.02028,1693,1669,0
2,95,0.23102,0.22888,0.02143,1915,1892,0
2,96,0.22431,0.22227,0.02043,1907,1885,0
2,97,0.22424,0.22211,0.02135,1697,1675,0
2,98,0.23177,0.22961,0.02166,1781,1755,0
2,99,0.23316,0.23100,0.02160,1826,1800,0
2,100,0.22369,0.22165,0.02046,8821,8788,0
2,101,0.22644,0.22426,0.02182,8571,8545,0
2,102,0.22650,0.22421,0.02289,1708,1685,0
2,103,0.22095,0.21874,0.02211,1863,1841,0
2,104,0.23547,0.23319,0.02284,1942,1920,0
2,105,0.23058,0.22834,0.02242,1882,1860,0
2,106,0.23231,0.23000,0.02315,1886,1859,0
2,107,0.23009,0.22777,0.02316,1944,1918,0
2,108,0.21781,0.21557,0.02240,1796,1772,0
2,109,0.22966,0.22724,0.02425,1854,1820,0
2,110,0.23223,0.22993,0.02297,9865,1937,7906
2,111,0.22505,0.22269,0.02355,2007,1985,0
2,112,0.22644,0.22414,0.02302,1887,1863,0
2,113,0.22039,0.21804,0.02354,2264,2230,0
2,114,0.21531,0.21296,0.02349,1896,1874,0
2,115,0.23439,0.23202,0.02370,2328,2304,0
2,116,0.22175,0.21938,0.02370,1861,1837,0
2,117,0.22171,0.21936,0.02351,2047,2022,0
2,118,0.21949,0.21702,0.02478,3108,3085,0
2,119,0.21447,0.21203,0.02441,2396,2373,0
2,120,0.21784,0.21543,0.02416,3249,3225,0
2,121,0.22196,0.21952,0.02435,1840,1807,0
2,122,0.20947,0.20713,0.02343,1853,1831,0
2,123,0.22501,0.22261,0.02394,5586,5563,0
2,124,0.21530,0.21294,0.02366,2486,2464,0
2,125,0.20981,0.20756,0.02248,2784,2760,0
2,126,0.22177,0.21948,0.02288,1792,1770,0
2,127,0.21705,0.21475,0.02306,2456,2434,0
2,128,0.22932,0.22701,0.02314,2044,2020,0
2,129,0.22199,0.21984,0.02151,2319,2285,0
2,130,0.20529,0.20314,0.02152,1760,1738,0
2,131,0.21437,0.21225,0.02116,1876,1854,0
2,132,0.21841,0.21615,0.02261,10703,1707,8973
2,133,0.21511,0.21292,0.02189,4682,4659,0
2,134,0.21431,0.21209,0.02222,1824,1801,0
2,135,0.20981,0.20766,0.02143,1918,1894,0
2,136,0.20505,0.20290,0.02154,2561,2539,0
2,137,0.21895,0.21677,0.02186,2121,2096,0
2,138,0.20589,0.20361,0.02283,1856,1827,0
2,139,0.20795,0.20579,0.02167,1891,1868,0
2,140,0.20559,0.20336,0.02230,1831,1807,0
2,141,0.20637,0.20419,0.02181,1936,1914,0
2,142,0.21676,0.21454,0.02222,1863,1841,0
2,143,0.20866,0.20661,0.02042,1949,1925,0
2,144,0.19989,0.19779,0.02097,2505,2482,0
2,145,0.20616,0.20399,0.02171,3884,3855,0
2,146,0.20718,0.20507,0.02116,1773,1751,0
2,147,0.19872,0.19657,0.02145,1919,1896,0
2,148,0.21007,0.20792,0.02148,7837,7813,0
2,149,0.20943,0.20736,0.02077,1949,1927,0
2,150,0.21380,0.21172,0.02082,2367,2345,0
2,151,0.20222,0.20015,0.02066,1774,1750,0
2,152,0.19331,0.19123,0.02082,1856,1834,0
2,153,0.19826,0.19622,0.02035,2095,2073,0
2,154,0.20558,0.20355,0.02022,10327,2118,8184
2,155,0.20082,0.19888,0.01947,2574,2541,0
2,156,0.20321,0.20116,0.02047,2273,2249,0
2,157,0.20487,0.20284,0.02025,1863,1840,0
2,158,0.19283,0.19092,0.01910,4355,4332,0
2,159,0.21080,0.20881,0.01996,5772,5749,0
2,160,0.19853,0.19651,0.02023,1784,1760,0
2,161,0.19320,0.19122,0.01985,1774,1752,0
2,162,0.19463,0.19256,0.02065,1766,1731,0
2,163,0.19291,0.19093,0.01979,1768,1739,0
2,164,0.19492,0.19283,0.02085,1898,1874,0
2,165,0.19568,0.19371,0.01970,1808,1786,0
2,166,0.18646,0.18452,0.01938,1960,1938,0
2,167,0.19077,0.18878,0.01986,1834,1812,0
2,168,0.19176,0.18982,0.01942,1955,1933,0
2,169,0.19025,0.18831,0.01950,1888,1863,0
2,170,0.19837,0.19641,0.01959,1780,1740,0
2,171,0.19010,0.18821,0.01890,1783,1753,0
2,172,0.19734,0.19537,0.01968,1875,1850,0
2,173,0.19224,0.19043,0.01806,3797,3775,0
2,174,0.18320,0.18137,0.01837,1750,1728,0
2,175,0.18558,0.18368,0.01893,1833,1811,0
2,176,0.18729,0.18541,0.01876,10118,1910,8185
2,177,0.19029,0.18834,0.01956,2077,2055,0
2,178,0.19021,0.18827,0.01948,1877,1856,0
2,179,0.18812,0.18615,0.01972,1753,1726,0
2,180,0.17962,0.17771,0.01908,1826,1803,0
2,181,0.19680,0.19484,0.01959,1966,1939,0
2,182,0.18874,0.18681,0.01924,1990,1965,0
2,183,0.18120,0.17937,0.01825,1891,1867,0
2,184,0.18000,0.17814,0.01852,1856,1833,0
2,185,0.18174,0.17990,0.01843,1772,1749,0
2,186,0.17764,0.17579,0.01848,1878,1855,0
2,187,0.17853,0.17681,0.01723,3772,3743,0
2,188,0.17443,0.17260,0.01833,2639,2616,0
2,189,0.17802,0.17618,0.01842,3413,3382,0
2,190,0.18193,0.18011,0.01815,2575,2550,0
2,191,0.18151,0.17964,0.01873,4305,4282,0
2,192,0.18173,0.17994,0.01794,1815,1793,0
2,193,0.18097,0.17920,0.01776,1859,1836,0
2,194,0.22644,0.22449,0.01951,2211,2188,0
2,195,0.19093,0.18912,0.01812,2057,2034,0
2,196,0.17252,0.17068,0.01844,2476,2454,0
2,197,0.17414,0.17227,0.01869,2609,2581,0
2,198,0.17541,0.17362,0.01794,15935,9018,6896
2,199,0.17243,0.17056,0.01866,1909,1886,0
2,200,0.17808,0.17621,0.01875,12216,12193,0
2,201,0.17830,0.17636,0.01943,2157,2133,0
2,202,0.16818,0.16635,0.01828,2167,2144,0
2,203,0.18019,0.17830,0.01898,1999,1977,0
2,204,0.17619,0.17430,0.01892,3047,3024,0
2,205,0.16597,0.16420,0.01768,3881,3859,0
2,206,0.16486,0.16301,0.01846,3656,3628,0
2,207,0.16258,0.16086,0.01719,1934,1912,0
2,208,0.16860,0.16673,0.01867,2431,2396,0
2,209,0.16771,0.16587,0.01835,2083,2060,0
2,210,0.15819,0.15637,0.01817,2783,2761,0
2,211,0.16702,0.16519,0.01823,2705,2683,0
2,212,0.16721,0.16530,0.01913,5296,5272,0
2,213,0.16311,0.16124,0.01867,3157,3135,0
2,214,0.16791,0.16596,0.01953,3210,3187,0
2,215,0.16092,0.15905,0.01867,3092,3069,0
2,216,0.16495,0.16306,0.01887,3045,3005,0
2,217,0.16741,0.16550,0.01912,2759,2732,0
2,218,0.15640,0.15452,0.01878,2865,2840,0
2,219,0.16426,0.16237,0.01896,3130,3107,0
2,220,0.16771,0.16577,0.01938,27254,17394,9838
2,221,0.16164,0.15975,0.01893,2962,2928,0
2,222,0.16430,0.16241,0.01886,3070,3047,1
2,223,0.15813,0.15633,0.01806,3262,3240,0
2,224,0.15157,0.14973,0.01836,2997,2975,0
2,225,0.16497,0.16320,0.01772,3229,3206,0
2,226,0.15624,0.15449,0.01757,2838,2812,0
2,227,0.15809,0.15639,0.01694,3715,3692,0
2,228,0.15607,0.15430,0.01772,3167,3140,0
2,229,0.15437,0.15262,0.01752,3250,3213,0
2,230,0.15715,0.15540,0.01751,7614,7588,0
2,231,0.15821,0.15649,0.01723,2972,2950,0
2,232,0.15053,0.14889,0.01642,3052,3029,0
2,233,0.15231,0.15060,0.01713,3076,3050,0
2,234,0.15208,0.15037,0.01707,3140,3114,0
2,235,0.15089,0.14920,0.01697,3147,3125,0
2,236,0.15481,0.15310,0.01714,9287,9258,0
2,237,0.15084,0.14912,0.01722,5041,5019,0
2,238,0.15263,0.15094,0.01683,3224,3193,0
2,239,0.15354,0.15178,0.01757,2966,2944,0
2,240,0.14604,0.14428,0.01751,3049,3027,0
