n_pairs,round_trip_l1.1,round_trip_l1.2,round_trip_l1.4,round_trip_l1.8,sweep,cell
353,0.020078610628843307,0.031228112056851387,0.042926762253046036,0.052495457231998444,C1_shuffled_time,shuffled
353,0.03716283291578293,0.040799036622047424,0.048269372433423996,0.0604570135474205,C1_shuffled_time,true
353,0.03876558691263199,0.0427870899438858,0.050635337829589844,0.06261105835437775,S1_dim,d256
353,3.3943637390621006e-05,6.738729280186817e-05,0.00013301199942361563,0.00026088496088050306,S2_lambda_u,u0000
353,0.011751877143979073,0.018610497936606407,0.02584507316350937,0.03472170978784561,S2_lambda_u,u0010
353,0.038091517984867096,0.04149226099252701,0.048279453068971634,0.05998067185282707,S2_lambda_u,u0100
353,0.03793900087475777,0.043165966868400574,0.0522279217839241,0.05988766998052597,S2_lambda_u,u0500
353,0.03523755446076393,0.037880126386880875,0.043118663132190704,0.05271002650260925,S3_forecast_loss,cos
353,0.038202036172151566,0.04321064054965973,0.049642521888017654,0.05308651551604271,S3_forecast_loss,l1
353,0.038427695631980896,0.04286549985408783,0.04818814992904663,0.058219242841005325,S3_forecast_loss,l1cos
353,0.039598580449819565,0.041131287813186646,0.047147586941719055,0.05811949819326401,S4_encoder,frozen
353,0.03647203743457794,0.03875303640961647,0.043901801109313965,0.061150819063186646,S4_encoder,ftuned
353,0.03781469911336899,0.0424334816634655,0.04908296465873718,0.060978956520557404,S5_init,identity
353,0.00010367993672844023,0.00020712640252895653,0.00041332643013447523,0.0008229831582866609,S5_init,noresidual
353,0.04151633009314537,0.04729048162698746,0.05288905277848244,0.0567755289375782,S5_init,random
353,0.0005928711034357548,0.001239005709066987,0.0028214999474585056,0.008164393715560436,S6_schedule,ep300_cool
