task,target,state_n_train,state_n_test,state.alpha,state.mae,state.r2,sweep,cell
regression,EF,1497,247,0.001,7.551969947477661,0.3755094242206425,S1_dim,d128
regression,EF,1497,247,0.01,7.271227044765387,0.4314264225193092,S1_dim,d256
regression,EF,1497,247,0.001,6.9074850690526155,0.46813290835921206,S1_dim,d512
regression,EF,1497,247,1.0,7.706058158778704,0.3531829170592711,S1_dim,d64
regression,EF,1497,247,0.001,8.098385810799279,0.14417530236697285,S2_lambda_u,u0000
regression,EF,1497,247,0.001,6.997583973636133,0.4750027930932843,S2_lambda_u,u0010
regression,EF,1497,247,0.01,7.340220200091608,0.42591484953262826,S2_lambda_u,u0100
regression,EF,1497,247,0.001,7.091150342816927,0.4422518456217468,S3_forecast_loss,cos
regression,EF,1497,247,0.1,5.3701663328905855,0.6658458996628132,S4_encoder,ftuned
regression,EF,1497,247,0.01,7.227137718683301,0.442168731739889,S5_init,identity
