n_total,n_paired_with_gt,pearson_r,spearman_r,mae_bpm,median_pred_bpm,sweep,cell
847,845,0.11547210719994593,0.1019656411440813,65.40017276097531,136.36363636363637,C1_shuffled_time,shuffled
847,844,0.07867884247363577,0.07532018204050893,65.02817292971416,136.36363636363637,C1_shuffled_time,true
843,840,0.0865841851683911,0.08152777511980877,63.15618647232768,136.36363636363637,S1_dim,d128
837,0,,,,136.36363636363637,S1_dim,d256
855,852,0.14032382742358082,0.14041001314403334,63.774842221025835,136.36363636363637,S1_dim,d32
848,0,,,,136.36363636363637,S1_dim,d512
845,842,0.12092430536253534,0.11325333302543968,64.7550854600577,136.36363636363637,S1_dim,d64
841,838,0.13941843054667707,0.13858538880142934,63.91748701182382,132.5,S2_lambda_u,u0000
852,0,,,,125.0,S2_lambda_u,u0010
847,844,0.09557524007065901,0.08835572827309679,65.69878737874974,136.36363636363637,S2_lambda_u,u0100
845,842,0.11822047673119782,0.10081727254897967,66.65151279593121,136.36363636363637,S2_lambda_u,u0500
854,851,0.09994192491845343,0.09214830402282038,66.59498427506999,136.36363636363637,S3_forecast_loss,cos
852,849,0.13691937370709212,0.10168495221155228,63.821952928328024,132.5,S3_forecast_loss,l1
850,847,0.09053635367483757,0.06023548484115651,64.42153431694581,136.36363636363637,S3_forecast_loss,l1cos
854,851,0.1011059651001387,0.09136149324218454,63.88778442221254,136.36363636363637,S4_encoder,frozen
801,798,0.0773587902155299,0.10112530788743083,45.35712673029167,107.14285714285714,S4_encoder,ftuned
855,852,0.09504238803546833,0.0890956756506267,66.618250756287,136.36363636363637,S5_init,identity
849,846,0.11116012129840569,0.09248120743351856,64.62623588858943,136.36363636363637,S5_init,noresidual
847,845,0.08650331646445372,0.06998115767525856,64.764943142736,136.36363636363637,S5_init,random
848,845,0.10060279001538885,0.10179639949589327,64.1967775894294,131.875,S6_schedule,ep300_cool
